technique,question_id,question,latency_ms,query_embedding_dimension,retrieved_chunks
semantic,q1,What does the CISA Known Exploited Vulnerabilities Catalog contain?,16.44,384,"[{""rank"": 1, ""stored_score"": 0.6025298084924368, ""explicit_cosine_similarity"": 0.53922, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 44150, ""chunk_preview"": ""\"", \""requiredAction\"": \""Apply mitigations as set forth in the CISA instructions linked below. Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""6c59c4bc-4853-4ae3-81d1-df04ec81fc70""}, {""rank"": 2, ""stored_score"": 0.6007090600732304, ""explicit_cosine_similarity"": 0.477399, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 5715, ""chunk_preview"": ""Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.\"", \""dueDate\"": \""2025-07-21\"", \""knownRansomwareCampaignUse\"": \""Known\"", \""forensicTriage\"": \""No\"", \""notes\"": \""CISA Miti..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""c22fa21b-ffb2-4dc3-b6c9-d41059013cfa""}, {""rank"": 3, ""stored_score"": 0.5985607736336217, ""explicit_cosine_similarity"": 0.477683, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1846, ""chunk_preview"": ""Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.\"", \""dueDate\"": \""2025-07-23\"", \""knownRansomwareCampaignUse\"": \""Known\"", \""forensicTriage\"": \""No\"", \""notes\"": \""CISA Miti..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""68d8456e-a8e7-453b-bd97-2c647e1fa9ca""}]"
semantic,q2,Which CISA catalog fields describe the action needed and the deadline for remediation?,16.76,384,"[{""rank"": 1, ""stored_score"": 0.5990376073041667, ""explicit_cosine_similarity"": 0.557877, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 2123, ""chunk_preview"": ""\"", \""requiredAction\"": \""The KEV due date refers to the deadline by which FCEB agencies are expected to review and begin implementing the guidance outlined in Emergency Directive (ED) 25-03 (URL listed below in Notes). Agencies must follow the..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""744baee4-1837-46de-8a35-5c8b94ebfbe2""}, {""rank"": 2, ""stored_score"": 0.5990376073041667, ""explicit_cosine_similarity"": 0.557877, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 2023, ""chunk_preview"": ""\"", \""requiredAction\"": \""The KEV due date refers to the deadline by which FCEB agencies are expected to review and begin implementing the guidance outlined in Emergency Directive (ED) 25-03 (URL listed below in Notes). Agencies must follow the..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""97c39b50-1205-43c5-9658-fcb3f02c59b1""}, {""rank"": 3, ""stored_score"": 0.5256777584191784, ""explicit_cosine_similarity"": 0.446054, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1708, ""chunk_preview"": ""Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patchin..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""3281e282-4b94-43d5-91f5-b71a1fcbf3fc""}]"
semantic,q3,What vulnerability category is OWASP A03:2021?,15.59,384,"[{""rank"": 1, ""stored_score"": 0.6340339124315691, ""explicit_cosine_similarity"": 0.637944, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 9864, ""chunk_preview"": ""![Mapping](assets/mapping.png) - **[A01:2021-Broken Access Control](A01_2021-Broken_Access_Control.md)** moves up from the fifth position to the category with the most serious web application security risk; the contributed data indicates th..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""42cf8432-9749-4cfe-9c68-65acdf80aeeb""}, {""rank"": 2, ""stored_score"": 0.5664720108346861, ""explicit_cosine_similarity"": 0.577486, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 25379, ""chunk_preview"": ""This vulnerability affects only specific AnyConnect and WebVPN configurations.\"", \""requiredAction\"": \""Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.\"", \""dueDate\"": \""2024-03-07\"", \""know..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""3fd28a6a-e947-44f4-bd9e-4b8491264846""}, {""rank"": 3, ""stored_score"": 0.5426339442539454, ""explicit_cosine_similarity"": 0.557612, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1376, ""chunk_preview"": ""\"", \""dueDate\"": \""2025-09-15\"", \""knownRansomwareCampaignUse\"": \""Unknown\"", \""forensicTriage\"": \""No\"", \""notes\"": \""This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more inform..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""374acde4-1d55-497d-8927-ff25845694b2""}]"
semantic,q4,What vulnerability category is OWASP A05:2021?,15.93,384,"[{""rank"": 1, ""stored_score"": 0.617721077618252, ""explicit_cosine_similarity"": 0.615043, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 9864, ""chunk_preview"": ""![Mapping](assets/mapping.png) - **[A01:2021-Broken Access Control](A01_2021-Broken_Access_Control.md)** moves up from the fifth position to the category with the most serious web application security risk; the contributed data indicates th..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""42cf8432-9749-4cfe-9c68-65acdf80aeeb""}, {""rank"": 2, ""stored_score"": 0.5673226045807143, ""explicit_cosine_similarity"": 0.581425, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 25379, ""chunk_preview"": ""This vulnerability affects only specific AnyConnect and WebVPN configurations.\"", \""requiredAction\"": \""Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.\"", \""dueDate\"": \""2024-03-07\"", \""know..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""3fd28a6a-e947-44f4-bd9e-4b8491264846""}, {""rank"": 3, ""stored_score"": 0.5302053918947909, ""explicit_cosine_similarity"": 0.552348, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1376, ""chunk_preview"": ""\"", \""dueDate\"": \""2025-09-15\"", \""knownRansomwareCampaignUse\"": \""Unknown\"", \""forensicTriage\"": \""No\"", \""notes\"": \""This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more inform..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""374acde4-1d55-497d-8927-ff25845694b2""}]"
semantic,q5,What vulnerability category is OWASP A07:2021?,15.4,384,"[{""rank"": 1, ""stored_score"": 0.6358001981232493, ""explicit_cosine_similarity"": 0.631286, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 9864, ""chunk_preview"": ""![Mapping](assets/mapping.png) - **[A01:2021-Broken Access Control](A01_2021-Broken_Access_Control.md)** moves up from the fifth position to the category with the most serious web application security risk; the contributed data indicates th..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""42cf8432-9749-4cfe-9c68-65acdf80aeeb""}, {""rank"": 2, ""stored_score"": 0.5890320436698026, ""explicit_cosine_similarity"": 0.606339, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 25379, ""chunk_preview"": ""This vulnerability affects only specific AnyConnect and WebVPN configurations.\"", \""requiredAction\"": \""Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.\"", \""dueDate\"": \""2024-03-07\"", \""know..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""3fd28a6a-e947-44f4-bd9e-4b8491264846""}, {""rank"": 3, ""stored_score"": 0.5545452418020382, ""explicit_cosine_similarity"": 0.573932, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1376, ""chunk_preview"": ""\"", \""dueDate\"": \""2025-09-15\"", \""knownRansomwareCampaignUse\"": \""Unknown\"", \""forensicTriage\"": \""No\"", \""notes\"": \""This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more inform..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""374acde4-1d55-497d-8927-ff25845694b2""}]"
