technique,question_id,question,latency_ms,query_embedding_dimension,retrieved_chunks
sentence_window,q1,What does the CISA Known Exploited Vulnerabilities Catalog contain?,110.38,384,"[{""rank"": 1, ""stored_score"": 0.6096741915320055, ""explicit_cosine_similarity"": 0.562866, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1319, ""chunk_preview"": ""\"", \""dueDate\"": \""2025-09-26\"", \""knownRansomwareCampaignUse\"": \""Unknown\"", \""forensicTriage\"": \""No\"", \""notes\"": \""CISA Mitigation Instructions: https:\\/\\/www.cisa.gov\\/news-events\\/directives\\/ed-25-03-identify-and-mitigate-potential-compromise-cisco-..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""9d2dd311-2f00-4547-810e-aab263908175""}, {""rank"": 2, ""stored_score"": 0.6096741915320055, ""explicit_cosine_similarity"": 0.562866, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 1562, ""chunk_preview"": ""\"", \""dueDate\"": \""2025-09-26\"", \""knownRansomwareCampaignUse\"": \""Unknown\"", \""forensicTriage\"": \""No\"", \""notes\"": \""CISA Mitigation Instructions: https:\\/\\/www.cisa.gov\\/news-events\\/directives\\/ed-25-03-identify-and-mitigate-potential-compromise-cisco-..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""cf8d52dd-3dd7-45b3-aa4d-ba24914a3cf1""}, {""rank"": 3, ""stored_score"": 0.6083485031205829, ""explicit_cosine_similarity"": 0.527067, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 270, ""chunk_preview"": ""For more information please see https:\\/\\/www.bitsight.com\\/blog\\/new-high-severity-vulnerability-cve-2023-29552-discovered-service-location-protocol-slp and https:\\/\\/www.cisa.gov\\/news-events\\/alerts\\/2023\\/04\\/25\\/abuse-service-location-..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""7b5be241-273b-43a3-82d4-6908b060c119""}]"
sentence_window,q2,Which CISA catalog fields describe the action needed and the deadline for remediation?,81.29,384,"[{""rank"": 1, ""stored_score"": 0.6581691405023943, ""explicit_cosine_similarity"": 0.666007, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 151, ""chunk_preview"": ""\"", \""requiredAction\"": \""Apply remediation actions outlined in CISA guidance [https:\\/\\/www.cisa.gov\\/guidance-applying-june-microsoft-patch]."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""0d9a829a-d21a-43c3-802c-5ef501a931d4""}, {""rank"": 2, ""stored_score"": 0.5896513372092363, ""explicit_cosine_similarity"": 0.634547, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 244, ""chunk_preview"": ""\"", \""requiredAction\"": \""Apply mitigations as set forth in the CISA instructions linked below to include conducting hunt activities, taking remediation actions if applicable, and applying updates prior to returning a device to service."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""05bcd6ce-25ee-4c30-8cd8-c4d940592231""}, {""rank"": 3, ""stored_score"": 0.5422108568584045, ""explicit_cosine_similarity"": 0.504852, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 172, ""chunk_preview"": ""\"", \""requiredAction\"": \""Apply remediations or mitigations per vendor instructions or discontinue use of the product if remediation or mitigations are unavailable."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""e1810e48-63c9-4795-98f9-279a4c55eb58""}]"
sentence_window,q3,What vulnerability category is OWASP A03:2021?,81.99,384,"[{""rank"": 1, ""stored_score"": 0.6606083797305253, ""explicit_cosine_similarity"": 0.630986, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 137, ""chunk_preview"": ""- **[A04:2021-Insecure Design](A04_2021-Insecure_Design.md)** is a new category for 2021, with a focus on risks related to design flaws."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""f7eda752-f520-4ad7-8dfe-c44081761777""}, {""rank"": 2, ""stored_score"": 0.63348325586381, ""explicit_cosine_similarity"": 0.627125, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 271, ""chunk_preview"": ""- **[A06:2021-Vulnerable and Outdated Components](A06_2021-Vulnerable_and_Outdated_Components.md)** was previously titled Using Components with Known Vulnerabilities and is #2 in the Top 10 community survey, but also had enough data to make..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""fc536791-f4cc-4b1b-ae6e-e70ee579c341""}, {""rank"": 3, ""stored_score"": 0.5958226865187547, ""explicit_cosine_similarity"": 0.563377, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 295, ""chunk_preview"": ""- **[A05:2021-Security Misconfiguration](A05_2021-Security_Misconfiguration.md)** moves up from #6 in the previous edition; 90% of applications were tested for some form of misconfiguration, with an average incidence rate of 4.5%, and over ..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""4b8291a4-2c9c-4ec2-9a24-4388a8e92e42""}]"
sentence_window,q4,What vulnerability category is OWASP A05:2021?,79.42,384,"[{""rank"": 1, ""stored_score"": 0.6648070357071351, ""explicit_cosine_similarity"": 0.634502, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 137, ""chunk_preview"": ""- **[A04:2021-Insecure Design](A04_2021-Insecure_Design.md)** is a new category for 2021, with a focus on risks related to design flaws."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""f7eda752-f520-4ad7-8dfe-c44081761777""}, {""rank"": 2, ""stored_score"": 0.6366190566447092, ""explicit_cosine_similarity"": 0.631484, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 271, ""chunk_preview"": ""- **[A06:2021-Vulnerable and Outdated Components](A06_2021-Vulnerable_and_Outdated_Components.md)** was previously titled Using Components with Known Vulnerabilities and is #2 in the Top 10 community survey, but also had enough data to make..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""fc536791-f4cc-4b1b-ae6e-e70ee579c341""}, {""rank"": 3, ""stored_score"": 0.6030485138168993, ""explicit_cosine_similarity"": 0.580559, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 295, ""chunk_preview"": ""- **[A05:2021-Security Misconfiguration](A05_2021-Security_Misconfiguration.md)** moves up from #6 in the previous edition; 90% of applications were tested for some form of misconfiguration, with an average incidence rate of 4.5%, and over ..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""4b8291a4-2c9c-4ec2-9a24-4388a8e92e42""}]"
sentence_window,q5,What vulnerability category is OWASP A07:2021?,79.48,384,"[{""rank"": 1, ""stored_score"": 0.6606001635989861, ""explicit_cosine_similarity"": 0.631201, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 137, ""chunk_preview"": ""- **[A04:2021-Insecure Design](A04_2021-Insecure_Design.md)** is a new category for 2021, with a focus on risks related to design flaws."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""f7eda752-f520-4ad7-8dfe-c44081761777""}, {""rank"": 2, ""stored_score"": 0.6480975757429228, ""explicit_cosine_similarity"": 0.649035, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 271, ""chunk_preview"": ""- **[A06:2021-Vulnerable and Outdated Components](A06_2021-Vulnerable_and_Outdated_Components.md)** was previously titled Using Components with Known Vulnerabilities and is #2 in the Top 10 community survey, but also had enough data to make..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""fc536791-f4cc-4b1b-ae6e-e70ee579c341""}, {""rank"": 3, ""stored_score"": 0.605794892393216, ""explicit_cosine_similarity"": 0.573553, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 295, ""chunk_preview"": ""- **[A05:2021-Security Misconfiguration](A05_2021-Security_Misconfiguration.md)** moves up from #6 in the previous edition; 90% of applications were tested for some form of misconfiguration, with an average incidence rate of 4.5%, and over ..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""4b8291a4-2c9c-4ec2-9a24-4388a8e92e42""}]"
