technique,question_id,question,latency_ms,query_embedding_dimension,retrieved_chunks
token,q1,What does the CISA Known Exploited Vulnerabilities Catalog contain?,96.01,384,"[{""rank"": 1, ""stored_score"": 0.6510949912193044, ""explicit_cosine_similarity"": 0.580238, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 684, ""chunk_preview"": ""\""notes\"": \""This vulnerability affects an open-source component, third-party library, protocol, or proprietary implementation that could be used by different products. For more information, please see: https:\\/\\/github.com\\/kestra-io\\/kestra\\..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""0c124738-6baf-48aa-846c-19a40b287521""}, {""rank"": 2, ""stored_score"": 0.6330706944768782, ""explicit_cosine_similarity"": 0.573977, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 700, ""chunk_preview"": ""\""No\"", \""notes\"": \""This vulnerability affects an open-source component, third-party library, protocol, or proprietary implementation that could be used by different products. For more information, please see: https:\\/\\/github.com\\/Kludex\\/star..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""8b287605-ef42-4735-9627-70b7676789cd""}, {""rank"": 3, ""stored_score"": 0.6155384029348784, ""explicit_cosine_similarity"": 0.58171, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 684, ""chunk_preview"": ""\""product\"": \""Connect Secure, Policy Secure, and ZTA Gateways\"", \""vulnerabilityName\"": \""Ivanti Connect Secure, Policy Secure, and ZTA Gateways Stack-Based Buffer Overflow Vulnerability\"", \""dateAdded\"": \""2025-04-04\"", \""shortDescription\"": \""Ivanti Co..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""fd915103-af85-4b34-93a2-63144ede0c30""}]"
token,q2,Which CISA catalog fields describe the action needed and the deadline for remediation?,64.11,384,"[{""rank"": 1, ""stored_score"": 0.5831321190107829, ""explicit_cosine_similarity"": 0.578973, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 751, ""chunk_preview"": ""refers to the deadline by which FCEB agencies are expected to review and begin implementing the guidance outlined in Emergency Directive (ED) 25-03 (URL listed below in Notes). Agencies must follow the mitigation steps provided by CISA (URL..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""3ac614ca-1863-4a61-8358-b11762dcd4b4""}, {""rank"": 2, ""stored_score"": 0.5586925613241035, ""explicit_cosine_similarity"": 0.548741, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 770, ""chunk_preview"": ""Notes). Agencies must follow the mitigation steps provided by CISA (URL listed below in Notes) and vendor\\u2019s instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of ..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""2921ccaa-d84d-4b70-85d1-58d057d7ba4d""}, {""rank"": 3, ""stored_score"": 0.5395426420321378, ""explicit_cosine_similarity"": 0.540022, ""source_file"": ""corpus/cisa_kev.json"", ""chunk_length"": 603, ""chunk_preview"": ""remediation actions if applicable, and applying updates prior to returning a device to service.\"", \""dueDate\"": \""2025-01-15\"", \""knownRansomwareCampaignUse\"": \""Known\"", \""forensicTriage\"": \""No\"", \""notes\"": \""CISA Mitigation Instructions: https:\\/\\/www...."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""96e588d5-e70e-4f2f-9a0c-2aa7aa762ab2""}]"
token,q3,What vulnerability category is OWASP A03:2021?,65.53,384,"[{""rank"": 1, ""stored_score"": 0.6432244404294204, ""explicit_cosine_similarity"": 0.629317, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1046, ""chunk_preview"": ""Control](A01_2021-Broken_Access_Control.md)** moves up from the fifth position to the category with the most serious web application security risk; the contributed data indicates that on average, 3.81% of applications tested had one or more..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""89771f04-ef2e-4c96-be83-38b9314fdeda""}, {""rank"": 2, ""stored_score"": 0.6340795477313378, ""explicit_cosine_similarity"": 0.56765, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1004, ""chunk_preview"": ""the previous edition; 90% of applications were tested for some form of misconfiguration, with an average incidence rate of 4.5%, and over 208k occurrences of CWEs mapped to this risk category. With more shifts into highly configurable softw..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""f3866653-b928-47b2-95e3-3824f2fca178""}, {""rank"": 3, ""stored_score"": 0.6146365966413341, ""explicit_cosine_similarity"": 0.578844, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1058, ""chunk_preview"": ""mapped to the included CWEs, so a default exploit and impact weights of 5.0 are factored into their scores. - **[A07:2021-Identification and Authentication Failures](A07_2021-Identification_and_Authentication_Failures.md)** was previously B..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""9894ad13-d162-4c3b-9531-94a41024f189""}]"
token,q4,What vulnerability category is OWASP A05:2021?,63.1,384,"[{""rank"": 1, ""stored_score"": 0.6420051590937114, ""explicit_cosine_similarity"": 0.574191, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1004, ""chunk_preview"": ""the previous edition; 90% of applications were tested for some form of misconfiguration, with an average incidence rate of 4.5%, and over 208k occurrences of CWEs mapped to this risk category. With more shifts into highly configurable softw..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""f3866653-b928-47b2-95e3-3824f2fca178""}, {""rank"": 2, ""stored_score"": 0.6220402971751701, ""explicit_cosine_similarity"": 0.600736, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1046, ""chunk_preview"": ""Control](A01_2021-Broken_Access_Control.md)** moves up from the fifth position to the category with the most serious web application security risk; the contributed data indicates that on average, 3.81% of applications tested had one or more..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""89771f04-ef2e-4c96-be83-38b9314fdeda""}, {""rank"": 3, ""stored_score"": 0.6217987528432501, ""explicit_cosine_similarity"": 0.592477, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1058, ""chunk_preview"": ""mapped to the included CWEs, so a default exploit and impact weights of 5.0 are factored into their scores. - **[A07:2021-Identification and Authentication Failures](A07_2021-Identification_and_Authentication_Failures.md)** was previously B..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""9894ad13-d162-4c3b-9531-94a41024f189""}]"
token,q5,What vulnerability category is OWASP A07:2021?,63.51,384,"[{""rank"": 1, ""stored_score"": 0.6476804827366803, ""explicit_cosine_similarity"": 0.585172, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1004, ""chunk_preview"": ""the previous edition; 90% of applications were tested for some form of misconfiguration, with an average incidence rate of 4.5%, and over 208k occurrences of CWEs mapped to this risk category. With more shifts into highly configurable softw..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""f3866653-b928-47b2-95e3-3824f2fca178""}, {""rank"": 2, ""stored_score"": 0.6345224283913903, ""explicit_cosine_similarity"": 0.618443, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1046, ""chunk_preview"": ""Control](A01_2021-Broken_Access_Control.md)** moves up from the fifth position to the category with the most serious web application security risk; the contributed data indicates that on average, 3.81% of applications tested had one or more..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""89771f04-ef2e-4c96-be83-38b9314fdeda""}, {""rank"": 3, ""stored_score"": 0.6248683905053605, ""explicit_cosine_similarity"": 0.595451, ""source_file"": ""corpus/owasp_top10.md"", ""chunk_length"": 1058, ""chunk_preview"": ""mapped to the included CWEs, so a default exploit and impact weights of 5.0 are factored into their scores. - **[A07:2021-Identification and Authentication Failures](A07_2021-Identification_and_Authentication_Failures.md)** was previously B..."", ""vector_dimension"": 384, ""vector_shape"": [384], ""node_id"": ""9894ad13-d162-4c3b-9531-94a41024f189""}]"
